Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,236.7,36.9708,10.39,5.2425,16.27,43.83,0.0009972609476841367,0.7,4.0
2,54.3,28.9377,23.45,4.4066,28.61,62.62,0.0009890738003669028,0.7,4.0
3,54.6,23.8102,33.99,4.4418,35.19,67.89,0.0009755282581475768,0.7,4.0
4,56.5,20.091,42.53,3.7236,43.65,76.25,0.0009567727288213003,0.7,4.0
5,54.6,17.4754,48.68,3.3353,49.25,79.77,0.0009330127018922195,0.7,4.0
6,54.3,15.474,53.62,3.2216,51.01,81.98,0.0009045084971874739,0.7,4.0
7,53.6,13.8498,57.62,3.2145,54.38,83.34,0.0008715724127386972,0.7,4.0
8,53.6,12.6123,61.25,3.1182,55.94,84.36,0.0008345653031794292,0.7,4.0
9,53.1,11.457,64.6,2.9505,57.98,85.93,0.0007938926261462366,0.7,4.0
10,55.2,10.4377,67.63,2.9537,58.65,85.99,0.00075,0.7,4.0
11,54.3,9.5645,70.28,2.9717,59.43,86.71,0.0007033683215379003,0.7,4.0
12,52.9,8.6602,73.23,2.8716,61.22,87.64,0.0006545084971874739,0.7,4.0
13,50.9,7.8712,75.84,2.8812,61.92,87.64,0.0006039558454088797,0.7,4.0
14,52.5,7.1801,78.24,2.8536,62.3,87.88,0.0005522642316338269,0.7,4.0
15,53.2,6.5437,80.6,2.7725,63.21,88.48,0.0005000000000000002,0.7,4.0
16,53.5,5.8456,83.3,2.7623,63.72,88.51,0.0004477357683661734,0.7,4.0
17,53.0,5.3264,85.18,2.7905,63.94,88.82,0.00039604415459112036,0.7,4.0
18,53.9,4.7785,87.46,2.8427,64.41,88.65,0.0003454915028125264,0.7,4.0
19,54.0,4.3235,89.31,2.7985,65.01,88.93,0.00029663167846210003,0.7,4.0
20,52.3,3.9038,91.36,2.7906,65.26,89.1,0.00025000000000000017,0.7,4.0
21,54.8,3.5944,92.62,2.8467,65.22,89.06,0.00020610737385376354,0.7,4.0
22,54.6,3.3068,93.96,2.8248,65.75,89.22,0.00016543469682057108,0.7,4.0
23,54.2,3.0305,95.1,2.8066,65.56,88.95,0.00012842758726130303,0.7,4.0
24,52.7,2.8409,95.87,2.8136,65.61,89.16,9.549150281252637e-05,0.7,4.0
25,54.4,2.6832,96.53,2.828,65.85,89.09,6.698729810778068e-05,0.7,4.0
26,54.6,2.5531,96.98,2.8191,65.8,88.95,4.322727117869953e-05,0.7,4.0
27,53.8,2.4749,97.32,2.8057,65.88,88.92,2.447174185242324e-05,0.7,4.0
28,53.8,2.4247,97.56,2.8029,65.88,89.07,1.092619963309716e-05,0.7,4.0
29,52.5,2.3738,97.61,2.8093,65.92,88.94,2.7390523158633003e-06,0.7,4.0
30,54.2,2.3565,97.83,2.8126,65.95,89.02,0.0,0.7,4.0
