Epoch,Time_S,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Best
1,302.9,1.4685,59.13,1.1711,66.53,90.85,0.0009972609476841367,1
2,78.3,0.7903,76.08,0.9175,73.24,94.22,0.0009890738003669028,1
3,79.7,0.5565,82.64,0.8909,74.5,94.52,0.0009755282581475768,1
4,77.6,0.4002,87.32,0.8411,75.98,94.8,0.0009567727288213003,1
5,77.5,0.2901,90.67,0.8098,77.07,95.5,0.0009330127018922195,1
6,78.5,0.2036,93.31,0.8637,77.32,95.49,0.0009045084971874739,1
7,79.8,0.1573,94.88,0.8279,78.25,95.87,0.0008715724127386972,1
8,79.2,0.1261,95.9,0.8354,78.09,95.52,0.0008345653031794292,0
9,79.2,0.1038,96.71,0.8567,78.85,95.86,0.0007938926261462366,1
10,79.4,0.0752,97.69,0.9043,78.41,95.45,0.00075,0
11,79.4,0.0597,98.17,0.9106,78.91,95.7,0.0007033683215379003,1
12,79.5,0.0562,98.29,0.8747,79.75,96.02,0.0006545084971874739,1
13,78.7,0.0437,98.7,0.8669,80.34,96.02,0.0006039558454088797,1
14,79.0,0.0329,99.02,0.884,80.72,96.08,0.0005522642316338269,1
15,79.6,0.0252,99.26,0.8748,81.02,96.19,0.0005000000000000002,1
16,79.2,0.0188,99.45,0.861,81.07,96.27,0.0004477357683661734,1
17,79.4,0.0141,99.62,0.8386,82.21,96.58,0.00039604415459112036,1
18,82.9,0.0098,99.76,0.8686,82.12,96.61,0.0003454915028125264,0
19,82.1,0.0053,99.88,0.8613,82.99,97.03,0.00029663167846210003,1
20,82.1,0.0041,99.9,0.8309,83.64,96.98,0.00025000000000000017,1
21,80.7,0.0024,99.95,0.8281,84.03,96.97,0.00020610737385376354,1
22,81.0,0.0013,99.98,0.847,84.14,97.09,0.00016543469682057108,1
23,79.6,0.0011,99.96,0.8328,84.29,97.19,0.00012842758726130303,1
24,79.0,0.0008,99.97,0.8384,84.49,97.28,9.549150281252637e-05,1
25,78.9,0.0004,99.98,0.8537,84.42,97.27,6.698729810778068e-05,0
26,79.2,0.0005,99.98,0.8586,84.44,97.18,4.322727117869953e-05,0
27,79.6,0.0005,99.98,0.8627,84.5,97.23,2.447174185242324e-05,1
28,78.7,0.0004,99.98,0.8616,84.55,97.32,1.092619963309716e-05,1
29,79.2,0.0004,99.98,0.8631,84.46,97.2,2.7390523158633003e-06,0
30,79.3,0.0004,99.98,0.8651,84.58,97.26,0.0,1
