Epoch,Time_S,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR
1,638.1,2.2317,47.56,1.6164,58.2,85.7,0.0009972609476841367
2,414.3,1.4158,62.55,1.4148,61.85,87.65,0.0009890738003669028
3,416.5,1.2384,66.15,1.3729,62.37,87.95,0.0009755282581475768
4,414.1,1.1294,68.47,1.3306,63.68,88.37,0.0009567727288213003
5,415.4,1.0502,70.62,1.3112,64.14,88.43,0.0009330127018922195
6,414.6,0.9948,71.85,1.3126,64.22,88.57,0.0009045084971874739
7,414.0,0.9494,73.05,1.3069,64.2,88.86,0.0008715724127386972
8,414.9,0.909,73.89,1.3051,64.36,88.7,0.0008345653031794292
9,413.6,0.8765,74.99,1.3122,64.42,88.72,0.0007938926261462366
10,415.4,0.8424,75.81,1.2939,65.0,88.96,0.00075
11,415.6,0.8183,76.4,1.3132,64.42,88.71,0.0007033683215379003
12,414.4,0.7919,77.05,1.2911,64.9,89.17,0.0006545084971874739
13,416.6,0.7695,77.63,1.3075,64.1,88.99,0.0006039558454088797
14,415.0,0.7486,78.27,1.3034,64.58,88.88,0.0005522642316338269
15,414.4,0.7324,78.93,1.3166,64.71,88.92,0.0005000000000000002
16,413.6,0.7121,79.32,1.3088,64.57,88.94,0.0004477357683661734
17,414.8,0.7054,79.56,1.3098,64.4,89.02,0.00039604415459112036
18,416.7,0.6872,80.11,1.3038,64.78,89.0,0.0003454915028125264
19,412.6,0.6719,80.64,1.3026,64.96,88.81,0.00029663167846210003
20,416.3,0.6652,80.96,1.3003,64.65,89.0,0.00025000000000000017
21,416.1,0.6479,81.34,1.3,64.85,89.12,0.00020610737385376354
22,414.9,0.6449,81.42,1.3061,64.81,88.92,0.00016543469682057108
23,415.1,0.6355,81.62,1.3065,64.89,88.8,0.00012842758726130303
24,413.9,0.6354,81.86,1.3005,64.8,89.3,9.549150281252637e-05
25,415.9,0.6252,82.13,1.3092,64.77,89.07,6.698729810778068e-05
26,416.0,0.6206,82.31,1.3,65.09,88.93,4.322727117869953e-05
27,415.7,0.6164,82.34,1.2939,65.01,89.12,2.447174185242324e-05
28,414.0,0.6155,82.62,1.2991,65.23,89.05,1.092619963309716e-05
29,414.3,0.6173,82.49,1.304,64.81,89.02,2.7390523158633003e-06
30,414.2,0.615,82.43,1.2969,65.24,88.9,0.0
